09:03,0,67769.63,32140.648
09:08,1,67769.63,32140.648
09:13,2,67769.63,32140.648
09:18,3,67769.63,32140.648
09:23,4,81217.67,22316.4
09:28,5,83440.72,22286.865
09:33,6,80587.81,22150.545
09:38,7,60000.0,22000.0
09:43,8,60000.0,22000.0
09:48,9,102514.84,38000.0
09:53,10,122321.93,38000.0
09:58,11,101379.52,22480.594
10:03,12,102474.95,22165.45
10:08,13,98399.69,37703.79
10:13,14,92753.09,22537.785
10:18,15,66256.45,22263.535
10:23,16,60004.836,22276.842
10:28,17,71900.125,22141.3
10:33,18,117824.25,22512.34
10:38,19,89213.89,32481.707
10:43,20,89213.89,32481.707
10:48,21,89213.89,32481.707
10:53,22,89213.89,32481.707
10:58,23,84184.555,23080.467
11:03,24,60000.0,22723.195
11:08,25,60000.0,22551.713
11:13,26,60000.0,22000.0
11:18,27,62327.26,22000.0
11:23,28,66545.67,25914.506
11:28,29,71674.38,22080.914
11:33,30,71584.05,22000.0
11:38,31,106375.234,36823.633
11:43,32,113673.98,36867.605
11:48,33,97301.016,37042.33
11:53,34,69252.61,23157.895
11:58,35,131359.3,37530.37
12:03,36,147000.0,37202.39
12:08,37,103688.695,37219.113
12:13,38,105489.17,38000.0
12:18,39,100897.0,38000.0
12:23,40,95849.8,38000.0
12:28,41,93311.984,38000.0
12:33,42,91007.484,38000.0
12:38,43,87906.83,38000.0
12:43,44,98998.44,22341.06
12:48,45,94562.17,22056.406
12:53,46,135380.44,22421.395
12:58,47,140620.52,22149.633
13:03,48,147000.0,37850.418
13:08,49,144811.66,34544.383
13:13,50,120062.734,22000.0
13:18,51,96656.586,22118.361
13:23,52,78405.38,22528.686
13:28,53,72245.47,23181.064
13:33,54,75093.46,22479.508
13:38,55,60000.0,22000.0
13:43,56,60000.0,22000.0
13:48,57,65689.27,22000.0
13:53,58,73861.72,22000.0
13:58,59,109635.01,22000.0
